Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_piece,0.0010345,0.005326,0.010966,0,0,0,0.080978,4.7155E-05,1.4654E-07,-5.4158E-08,4.6452E-05,4.434E-08,8.9367E-05,0,0,0,0,0,0,package://3modules/meshes/base_piece.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://3modules/meshes/base_piece.STL,,module_sim-1/piece_female_v5_sim-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.0087368,9.3905E-07,-0.0054744,0,0,0,0.0023104,1.8096E-08,-1.7121E-12,4.7185E-09,1.3363E-07,2.3371E-12,1.4184E-07,0,0,0,0,0,0,package://3modules/meshes/link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://3modules/meshes/link1.STL,,module_sim-1/servo_arm_v5_sim-1,Coordinate System2,Axis1,joint1,revolute,0,0.033775,0.011,1.5708,0,1.5712,base_piece,0,0,-1,0,0,-1.57,1.57,,,,,,,,
piece1,0.03453,-0.00020927,-0.00012664,0,0,0,0.059891,4.5118E-05,-2.442E-08,-3.1795E-07,8.4255E-05,-2.9297E-09,4.26E-05,0,0,0,0,0,0,package://3modules/meshes/piece1.STL,0.26275,0.25098,0.23922,1,0,0,0,0,0,0,package://3modules/meshes/piece1.STL,,module_sim-1/piece_male_v5_sim-1,Coordinate System3,Axis2,joint2,revolute,0.020005,0,0,0,0,0,link1,0,0,-1,0,0,-1.57,1.57,,,,,,,,
connector1,0.0095,-4.3299E-15,0.058546,0,0,0,0.0089784,3.7274E-07,1.6736E-20,9.0765E-14,9.8046E-07,-2.8944E-23,9.8046E-07,0,0,0,0,0,0,package://3modules/meshes/connector1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://3modules/meshes/connector1.STL,,connecter-1,Coordinate System4,Axis3,connector_joint1,revolute,0.05071,0,0.029295,0,-1.0476,0,piece1,0,0,1,0,0,-1.57,1.57,,,,,,,,
piece2,0.03736,-3.3609E-05,-0.0040952,0,0,0,0.080978,4.7106E-05,-2.4733E-08,2.3093E-07,8.9367E-05,-6.5479E-08,4.6501E-05,0,0,0,0,0,0,package://3modules/meshes/piece2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://3modules/meshes/piece2.STL,,module_sim-2/piece_female_v5_sim-1,Coordinate System5,Axis4,connector_joint2,revolute,0.019,0,0,0,0,0,connector1,0,0,1,0,0,-1.57,1.57,,,,,,,,
link2,0.0087368,9.3905E-07,-0.0054744,0,0,0,0.0023104,1.8096E-08,-1.7121E-12,4.7185E-09,1.3363E-07,2.3371E-12,1.4184E-07,0,0,0,0,0,0,package://3modules/meshes/link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://3modules/meshes/link2.STL,,module_sim-2/servo_arm_v5_sim-1,Coordinate System6,Axis5,joint3,revolute,0.050689,0,-0.02925,0,1.0476,0,piece2,0,0,-1,0,0,-1.57,1.57,,,,,,,,
piece3,0.03453,-0.00020927,-0.00012663,0,0,0,0.059891,4.5118E-05,-2.4421E-08,-3.1795E-07,8.4255E-05,-2.932E-09,4.26E-05,0,0,0,0,0,0,package://3modules/meshes/piece3.STL,0.26275,0.25098,0.23922,1,0,0,0,0,0,0,package://3modules/meshes/piece3.STL,,module_sim-2/piece_male_v5_sim-1,Coordinate System7,Axis6,joint4,revolute,0.020005,0,0,0,0,0,link2,0,0,-1,0,0,-1.57,1.57,,,,,,,,
connector2,0.0095,2.2204E-16,0.058546,0,0,0,0.0089784,3.7274E-07,-9.1102E-21,3.2326E-13,9.8046E-07,2.4825E-24,9.8046E-07,0,0,0,0,0,0,package://3modules/meshes/connector2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://3modules/meshes/connector2.STL,,connecter-3,Coordinate System8,Axis7,connector_joint3,revolute,0.05071,0,0.029295,0,-1.0476,0,piece3,0,0,1,0,0,-1.57,1.57,,,,,,,,
piece4,0.03736,-3.3609E-05,-0.0040952,0,0,0,0.080978,4.7106E-05,-2.4729E-08,2.3094E-07,8.9367E-05,-6.5478E-08,4.6501E-05,0,0,0,0,0,0,package://3modules/meshes/piece4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://3modules/meshes/piece4.STL,,module_sim-3/piece_female_v5_sim-1,Coordinate System9,Axis8,connector_joint4,revolute,0.019,0,0,0,0,0,connector2,0,0,1,0,0,-1.57,1.57,,,,,,,,
link3,0.0087368,9.3905E-07,-0.0054744,0,0,0,0.0023104,1.8096E-08,-1.7121E-12,4.7185E-09,1.3363E-07,2.3371E-12,1.4184E-07,0,0,0,0,0,0,package://3modules/meshes/link3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://3modules/meshes/link3.STL,,module_sim-3/servo_arm_v5_sim-1,Coordinate System10,Axis9,joint5,revolute,0.050689,0,-0.02925,0,1.0476,0,piece4,0,0,-1,0,0,-1.57,1.57,,,,,,,,
piece5,0.03453,-0.00020927,-0.00012664,0,0,0,0.059891,4.5118E-05,-2.442E-08,-3.1795E-07,8.4255E-05,-2.9295E-09,4.26E-05,0,0,0,0,0,0,package://3modules/meshes/piece5.STL,0.26275,0.25098,0.23922,1,0,0,0,0,0,0,package://3modules/meshes/piece5.STL,,module_sim-3/piece_male_v5_sim-1,Coordinate System11,Axis10,joint6,revolute,0.020005,0,0,0,0,0,link3,0,0,-1,0,0,-1.57,1.57,,,,,,,,
